student_id,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,facility_rating,exam_difficulty,exam_score,study_method_coaching,study_method_group study,study_method_mixed,study_method_online videos,study_method_self-study
60,b.sc,2.45,83.7,1,6.9,2,1,1,70.5,False,False,False,False,True
61,bca,4.26,46.1,0,4.9,1,1,1,57.2,False,False,False,True,False
62,b.sc,7.05,43.4,0,5.6,1,1,1,75.5,False,False,True,False,False
63,diploma,6.37,42.0,0,5.9,2,0,2,62.8,False,False,False,False,True
64,ba,2.42,41.7,0,9.3,1,2,1,31.7,False,False,False,True,False
65,b.com,5.51,69.8,0,7.7,2,0,0,70.3,False,False,False,False,True
66,bca,0.08,50.9,0,9.6,0,0,1,19.599,False,False,True,False,False
67,b.com,2.66,80.5,0,5.9,1,0,1,54.0,False,False,True,False,False
68,b.sc,6.72,69.0,0,9.2,2,2,1,61.0,False,False,False,False,True
69,bba,1.21,45.6,0,8.8,1,1,1,35.1,False,False,False,True,False
70,bca,2.83,40.6,0,9.7,2,0,2,57.5,False,False,True,False,False
71,bba,0.08,42.2,1,5.5,2,2,2,26.4,True,False,False,False,False
72,ba,0.19,72.0,0,9.7,0,2,1,45.3,False,False,False,False,True
73,b.com,1.17,75.2,1,8.0,2,2,2,46.9,False,False,False,True,False
74,b.com,0.81,61.2,0,8.4,0,1,0,37.1,False,False,False,False,True
75,diploma,3.92,44.7,0,5.1,1,2,1,54.0,False,False,True,False,False
76,b.com,7.2,96.1,0,5.3,0,0,1,78.8,False,False,True,False,False
77,diploma,0.68,64.3,0,9.9,0,0,1,49.9,False,False,True,False,False
78,b.sc,6.96,65.8,0,8.7,0,0,0,76.9,False,False,False,True,False
79,b.sc,5.35,62.9,0,9.3,1,2,1,54.4,False,False,False,True,False
80,b.com,1.35,43.6,0,5.6,0,1,1,28.3,True,False,False,False,False
81,b.tech,2.32,82.6,0,7.0,2,1,1,53.1,False,False,False,False,True
82,diploma,1.55,79.9,0,7.2,2,2,1,75.6,False,False,True,False,False
83,b.com,6.31,49.9,1,5.6,1,0,0,57.5,False,True,False,False,False
84,b.tech,5.8,56.1,0,4.9,1,2,1,59.8,False,False,True,False,False
85,bba,2.44,72.8,0,5.1,2,1,2,51.3,False,True,False,False,False
86,diploma,0.43,62.6,0,5.9,1,0,1,23.9,False,False,False,False,True
87,diploma,1.35,99.4,0,6.5,0,2,1,48.1,False,True,False,False,False
88,b.tech,5.04,69.8,0,4.1,1,2,2,65.3,False,False,False,False,True
89,bca,0.72,92.9,0,6.9,2,0,1,56.6,False,False,False,True,False
90,b.com,4.29,52.3,0,7.2,2,2,2,79.5,True,False,False,False,False
91,bca,4.9,73.4,0,6.9,0,2,2,79.9,False,False,False,False,True
92,bba,5.5,59.3,1,7.6,1,0,0,65.8,False,False,False,False,True
93,bca,1.0,96.1,0,4.5,2,2,1,61.1,False,False,False,False,True
94,bca,3.68,73.1,0,9.3,2,0,2,65.8,False,False,False,True,False
95,diploma,3.71,79.2,1,5.4,1,0,2,49.0,False,False,False,True,False
96,b.sc,6.68,44.6,0,6.6,1,2,1,66.3,False,True,False,False,False
97,bca,3.75,69.3,0,9.1,2,2,1,63.9,False,False,True,False,False
98,b.tech,3.25,74.8,0,8.3,0,2,2,49.5,True,False,False,False,False
99,diploma,0.99,57.4,0,8.3,0,1,1,40.0,False,False,False,True,False
100,bba,5.56,84.1,0,8.8,0,1,2,78.7,False,False,True,False,False
101,b.sc,4.96,68.0,0,9.8,2,1,2,61.4,False,False,False,False,True
102,b.com,5.74,73.7,1,4.2,0,2,1,69.6,False,False,False,True,False
103,diploma,5.25,61.7,0,9.9,0,0,1,71.9,True,False,False,False,False
104,bba,7.0,80.6,0,9.6,0,1,1,88.5,False,True,False,False,False
105,b.sc,7.02,46.2,0,4.9,2,0,1,63.8,False,False,False,True,False
106,bca,2.46,70.4,0,5.8,0,0,0,37.1,False,False,True,False,False
107,bca,1.46,93.7,0,8.0,0,2,0,51.1,False,False,True,False,False
108,b.tech,7.41,54.1,0,9.3,1,0,0,91.3,True,False,False,False,False
109,b.sc,5.7,92.1,0,7.3,0,2,1,95.2,True,False,False,False,False
110,bca,7.77,93.1,0,7.1,0,0,2,74.3,False,True,False,False,False
111,b.com,3.98,53.8,1,4.7,2,2,2,64.0,False,False,True,False,False
112,b.tech,7.7,44.8,0,8.3,1,2,1,79.6,False,False,True,False,False
113,bba,0.98,85.9,0,7.0,2,0,2,51.8,True,False,False,False,False
114,diploma,4.72,97.5,0,4.6,2,0,1,74.4,False,False,False,False,True
115,ba,3.97,55.3,0,9.5,2,2,2,69.9,False,True,False,False,False
116,diploma,0.08,94.8,0,5.4,0,2,1,26.5,True,False,False,False,False
117,b.tech,1.54,52.5,0,7.2,1,1,1,45.5,False,False,True,False,False
118,bba,1.23,61.6,0,9.0,0,1,2,57.0,False,False,True,False,False
119,bba,0.49,93.2,0,8.0,2,1,2,52.8,False,False,False,False,True
120,diploma,7.59,58.2,0,5.4,1,1,1,93.1,False,False,True,False,False
121,ba,7.72,85.3,0,9.9,2,1,1,100.0,False,True,False,False,False
122,bca,7.13,48.8,0,4.6,0,1,1,81.6,False,False,False,False,True
123,b.sc,7.91,62.7,0,8.8,0,2,1,100.0,False,False,True,False,False
124,b.tech,6.65,96.4,0,6.8,1,0,1,100.0,False,False,True,False,False
125,bca,7.46,53.6,0,4.4,0,1,1,76.9,False,False,True,False,False
126,b.tech,1.58,82.1,0,5.5,2,0,0,51.9,False,True,False,False,False
127,diploma,2.06,95.2,0,4.5,2,0,1,51.0,True,False,False,False,False
128,b.tech,6.9,87.1,0,5.2,1,2,0,71.1,False,False,False,True,False
129,bba,3.84,96.9,0,9.3,2,0,1,86.9,False,False,False,True,False
130,ba,5.74,96.6,0,5.8,0,2,1,67.4,False,False,False,False,True
131,bba,4.5,46.8,0,7.7,2,0,1,76.3,False,False,True,False,False
132,bba,2.45,76.1,0,5.2,0,2,2,40.7,False,False,False,False,True
133,ba,2.28,65.6,0,5.5,0,1,1,19.599,False,False,False,False,True
134,ba,5.99,81.0,0,6.1,2,1,0,71.9,False,True,False,False,False
135,ba,4.26,84.6,0,9.7,1,1,1,56.6,False,False,False,True,False
136,bba,2.88,54.7,0,5.3,1,0,1,64.9,True,False,False,False,False
137,bba,4.94,88.0,0,7.9,0,0,2,65.6,False,False,True,False,False
138,ba,3.36,64.6,1,6.2,0,1,1,49.0,False,False,True,False,False
139,b.com,3.8,79.4,0,4.9,2,0,2,53.7,False,False,False,False,True
140,b.tech,5.42,65.7,0,7.3,2,0,1,72.2,False,False,True,False,False
141,bca,3.66,60.8,1,6.2,2,2,2,65.4,False,False,False,True,False
142,b.sc,7.6,81.6,0,9.2,2,0,1,83.3,False,False,False,False,True
143,ba,3.88,72.5,1,9.6,0,1,2,41.8,False,False,False,False,True
144,diploma,7.69,91.2,0,7.4,1,0,0,69.4,False,False,False,False,True
145,bca,6.78,87.2,0,5.8,1,2,1,75.4,False,False,False,True,False
146,b.com,7.13,92.1,0,7.2,0,0,0,66.9,False,False,True,False,False
147,ba,6.11,85.9,1,9.3,2,2,2,100.0,False,True,False,False,False
148,b.com,4.84,95.0,0,8.0,1,1,2,70.7,False,False,False,True,False
149,bba,4.26,49.4,0,4.5,1,1,2,34.3,False,True,False,False,False
150,b.sc,4.41,78.4,0,4.4,2,2,0,83.7,True,False,False,False,False
151,diploma,1.61,44.9,0,4.9,0,2,2,29.2,False,False,True,False,False
152,diploma,1.72,70.0,0,7.4,2,1,2,60.9,False,False,False,False,True
153,b.com,0.27,91.7,0,5.0,1,1,1,36.3,False,True,False,False,False
154,b.sc,5.96,83.5,0,5.5,1,1,1,69.1,False,False,False,False,True
155,ba,1.0,75.0,0,7.2,1,0,1,63.5,False,True,False,False,False
156,bba,4.66,81.6,0,7.4,1,2,2,82.6,True,False,False,False,False
157,bba,1.1,50.4,0,8.9,1,1,0,38.8,False,False,False,True,False
158,b.tech,0.53,95.8,1,6.6,1,2,2,56.9,False,False,True,False,False
159,bba,4.27,52.7,0,8.7,0,1,1,45.7,False,False,False,False,True
160,b.tech,6.98,50.0,0,4.5,1,2,1,92.0,False,False,False,True,False
161,b.com,2.85,48.4,0,7.3,0,0,1,32.1,False,False,True,False,False
162,bca,7.35,96.2,0,6.6,1,1,0,100.0,True,False,False,False,False
163,diploma,0.08,67.7,0,9.5,2,1,2,40.8,False,False,False,True,False
164,bba,3.73,72.0,0,8.3,2,2,0,69.5,False,False,True,False,False
165,b.sc,1.17,62.7,0,8.1,0,2,1,39.0,False,False,True,False,False
166,bba,2.53,41.6,1,9.4,1,1,2,23.5,False,False,False,False,True
167,b.tech,0.19,44.0,0,5.5,0,0,2,19.599,False,False,False,True,False
168,b.sc,0.28,40.9,1,8.5,2,2,2,46.0,False,False,False,False,True
169,b.tech,5.7,72.3,0,9.2,0,1,1,67.9,False,False,False,False,True
170,diploma,5.24,51.6,0,9.9,0,2,1,54.0,False,True,False,False,False
171,b.com,1.67,64.1,0,6.6,2,1,1,53.5,False,False,False,False,True
172,ba,7.21,67.6,0,8.0,1,1,2,77.8,False,False,False,False,True
173,bca,5.5,72.0,0,5.1,0,1,1,68.1,True,False,False,False,False
174,diploma,2.69,93.6,1,7.4,0,1,1,49.0,True,False,False,False,False
175,diploma,3.26,42.6,0,6.7,1,2,1,52.2,True,False,False,False,False
176,b.sc,2.34,69.7,0,4.8,2,2,1,55.4,False,True,False,False,False
177,b.com,6.64,47.9,0,9.5,0,2,2,69.4,False,False,False,True,False
178,b.com,3.95,95.6,0,9.4,2,0,1,80.7,False,False,False,False,True
179,bca,1.08,95.0,0,9.8,0,1,1,32.0,False,True,False,False,False
180,b.com,1.61,48.4,0,5.1,2,2,1,34.3,False,False,False,False,True
181,b.sc,2.37,47.0,0,4.1,1,1,1,35.4,False,True,False,False,False
182,bca,3.23,46.6,0,8.5,2,1,2,57.8,False,False,False,False,True
183,ba,4.74,45.9,0,5.6,1,0,2,50.4,False,False,False,True,False
184,bca,7.71,49.5,0,7.8,1,2,1,87.2,True,False,False,False,False
185,b.com,2.1,49.3,0,7.2,1,0,0,56.6,True,False,False,False,False
186,ba,2.63,49.8,0,7.5,2,2,1,91.6,False,False,False,True,False
187,b.tech,0.19,48.9,0,7.0,0,1,2,23.7,False,True,False,False,False
188,b.tech,2.98,62.7,0,4.1,1,0,0,56.5,False,False,False,False,True
189,b.tech,5.4,55.2,0,5.6,1,0,2,76.1,False,True,False,False,False
190,b.sc,7.7,65.0,0,9.5,0,1,2,73.1,False,False,False,True,False
191,b.com,5.92,93.6,0,6.5,0,1,1,74.8,False,False,False,False,True
192,b.tech,0.94,61.1,0,5.9,2,1,2,21.4,False,False,False,False,True
193,b.sc,7.12,57.2,0,4.1,0,2,1,69.5,False,False,True,False,False
194,bca,6.71,94.9,0,6.2,0,0,2,90.0,True,False,False,False,False
195,bca,1.51,59.3,0,5.3,2,1,2,44.3,False,False,True,False,False
196,b.com,7.47,47.3,0,7.1,0,0,1,66.6,False,True,False,False,False
197,diploma,5.71,77.1,0,8.2,1,2,2,83.5,False,False,False,True,False
198,b.tech,6.26,56.9,1,4.4,1,2,2,70.9,False,False,False,False,True
199,b.tech,3.67,71.2,0,8.3,2,0,2,67.9,False,False,True,False,False
200,b.com,1.61,86.1,0,4.1,0,1,0,44.7,False,False,False,True,False
201,b.sc,6.39,73.9,0,8.1,0,2,1,84.0,False,False,True,False,False
202,b.tech,3.82,88.5,0,4.9,1,1,2,73.0,True,False,False,False,False
203,bca,7.74,60.7,1,6.1,0,1,1,65.0,False,False,False,False,True
204,diploma,1.23,50.1,0,4.7,2,0,1,31.4,True,False,False,False,False
205,b.sc,2.84,63.7,0,7.3,1,0,1,48.5,False,True,False,False,False
206,b.com,5.88,64.7,0,8.8,1,2,1,78.6,True,False,False,False,False
207,bca,4.58,83.0,0,7.4,1,2,1,90.9,False,False,True,False,False
208,diploma,3.47,81.2,1,9.4,0,0,1,39.6,False,True,False,False,False
209,b.com,5.61,58.6,0,4.2,2,0,2,66.5,True,False,False,False,False
210,bba,5.87,95.8,0,6.1,1,0,0,83.1,False,True,False,False,False
211,b.tech,4.62,56.5,0,6.3,1,0,1,40.2,False,False,False,True,False
212,ba,2.55,99.4,0,5.9,1,0,2,57.6,True,False,False,False,False
213,diploma,4.95,42.0,0,6.5,1,1,1,51.5,False,False,False,True,False
214,ba,4.36,80.4,1,7.4,2,2,2,92.2,False,False,False,False,True
215,bba,6.38,77.2,0,5.2,0,2,1,72.7,False,False,True,False,False
216,bba,5.23,75.1,0,5.2,0,1,1,69.9,False,False,True,False,False
217,bba,3.97,86.7,0,4.9,2,0,1,62.6,False,True,False,False,False
218,bba,0.15,75.5,0,5.8,1,0,2,27.7,False,False,False,False,True
219,diploma,1.34,76.6,0,7.9,1,0,0,55.9,False,False,False,False,True
220,b.tech,2.69,92.6,0,7.1,1,2,1,57.2,False,False,True,False,False
221,diploma,4.81,51.2,0,5.7,2,2,2,69.9,False,False,True,False,False
222,diploma,6.34,71.9,0,9.8,1,1,0,84.6,False,False,True,False,False
223,diploma,7.68,82.7,0,7.8,1,0,1,100.0,True,False,False,False,False
224,b.com,4.8,58.5,0,5.6,2,0,1,61.6,False,False,True,False,False
225,bba,5.83,53.2,0,4.3,1,2,1,59.6,True,False,False,False,False
226,b.com,4.97,47.7,0,5.4,0,0,0,37.9,False,False,True,False,False
227,bca,3.44,55.8,0,6.9,0,1,1,40.8,False,False,True,False,False
228,b.com,4.88,80.0,0,5.2,0,2,0,73.6,False,False,False,True,False
229,b.com,3.21,76.9,0,5.9,0,2,0,52.1,False,True,False,False,False
230,bba,3.63,50.3,0,9.9,1,2,2,65.9,False,True,False,False,False
231,b.tech,7.29,69.5,0,9.6,2,2,0,100.0,True,False,False,False,False
232,b.com,4.51,52.8,0,7.1,2,1,2,70.6,False,True,False,False,False
233,b.sc,0.8,96.2,0,9.0,0,2,1,61.6,False,True,False,False,False
234,b.com,4.19,83.4,1,5.7,1,2,0,74.8,False,False,True,False,False
235,ba,7.63,50.4,1,8.5,2,0,1,68.6,False,False,False,True,False
236,b.tech,0.8,57.4,0,9.4,1,0,1,57.4,False,True,False,False,False
237,diploma,7.77,91.2,0,9.0,1,1,2,95.5,True,False,False,False,False
238,b.com,7.9,73.4,0,7.8,0,1,1,89.0,False,False,False,False,True
239,b.com,4.49,61.4,0,9.0,0,0,2,72.6,True,False,False,False,False
240,b.sc,2.66,75.9,0,4.1,2,2,0,44.3,False,False,False,False,True
241,diploma,0.08,63.4,1,6.3,0,0,2,19.599,True,False,False,False,False
242,bca,0.12,94.7,0,8.6,1,2,1,61.2,False,False,True,False,False
243,ba,3.1,92.4,0,6.4,0,2,2,54.6,False,False,True,False,False
244,b.com,6.26,49.6,0,5.1,2,2,1,95.6,True,False,False,False,False
245,ba,7.54,80.6,0,8.6,2,1,1,90.6,False,False,True,False,False
246,diploma,1.24,90.3,0,7.7,1,1,2,67.1,False,False,True,False,False
247,b.sc,3.9,52.7,0,7.1,1,1,1,68.4,False,False,True,False,False
248,bba,4.01,92.3,1,6.0,2,1,0,83.4,True,False,False,False,False
249,diploma,3.04,65.2,1,4.6,1,0,1,53.2,True,False,False,False,False
250,bca,4.32,58.5,0,9.2,1,0,2,71.4,True,False,False,False,False
251,diploma,7.4,99.0,0,5.2,2,0,1,86.2,False,False,False,False,True
252,diploma,3.51,81.3,1,7.8,0,1,0,55.4,False,True,False,False,False
253,b.tech,1.1,57.4,1,5.8,0,1,2,19.8,False,True,False,False,False
254,b.sc,5.32,71.8,0,5.4,1,1,1,75.7,False,True,False,False,False
255,b.sc,0.25,78.6,0,6.7,1,0,2,31.9,False,False,False,True,False
256,ba,7.52,82.7,1,8.4,1,0,2,90.7,False,True,False,False,False
257,b.com,7.52,52.6,0,5.4,1,2,0,81.7,False,False,False,True,False
258,b.tech,0.74,77.0,0,4.6,2,0,1,27.6,False,True,False,False,False
259,ba,4.41,90.8,0,6.9,1,0,0,70.6,False,True,False,False,False
260,b.tech,6.38,88.2,0,7.3,2,1,2,92.1,False,False,False,False,True
261,b.com,3.72,57.7,0,7.9,1,1,2,64.6,True,False,False,False,False
262,b.com,3.83,98.2,0,6.7,2,2,2,80.7,False,False,False,False,True
263,diploma,7.76,40.8,0,6.3,0,1,0,69.8,False,False,False,True,False
264,bba,1.84,86.7,1,4.9,0,2,1,74.9,True,False,False,False,False
265,bba,4.21,59.0,0,5.8,0,1,1,50.5,False,False,False,False,True
266,bca,0.92,96.5,0,5.5,2,2,2,67.6,False,False,False,True,False
267,b.sc,2.42,91.7,0,4.8,2,2,1,53.2,False,False,True,False,False
268,b.sc,6.81,92.9,0,9.7,1,1,2,85.2,False,False,False,False,True
269,bca,5.73,55.1,0,5.1,2,0,2,70.2,False,True,False,False,False
270,bca,4.9,87.8,0,7.4,0,1,2,65.9,False,True,False,False,False
271,b.tech,0.91,60.0,0,6.4,1,2,1,47.4,False,True,False,False,False
272,b.sc,6.81,66.8,0,7.3,1,1,0,82.8,False,True,False,False,False
273,b.sc,2.38,94.3,0,7.5,0,2,2,67.7,False,False,True,False,False
274,b.tech,4.28,83.2,1,7.1,0,2,1,65.8,True,False,False,False,False
275,bba,1.87,78.4,0,6.0,1,1,1,54.3,False,True,False,False,False
276,b.tech,4.17,47.7,0,6.0,2,1,1,49.9,False,False,False,True,False
277,bca,4.5,72.3,0,5.0,2,0,1,62.2,False,False,True,False,False
278,bba,2.72,47.4,0,6.5,2,1,0,66.1,False,False,False,True,False
279,bca,4.05,44.5,0,6.2,2,0,2,60.2,False,False,False,True,False
280,ba,3.25,96.8,0,9.9,2,0,2,80.1,True,False,False,False,False
281,diploma,5.58,75.5,0,4.6,1,1,1,76.3,True,False,False,False,False
282,b.sc,4.35,40.6,0,7.5,1,1,1,62.0,False,True,False,False,False
283,ba,7.02,68.1,1,9.9,2,0,1,93.8,False,False,False,False,True
284,b.tech,0.4,57.2,0,9.6,1,0,2,42.3,False,False,True,False,False
285,bca,0.21,49.2,1,8.2,1,2,1,56.4,True,False,False,False,False
286,ba,1.51,89.1,1,6.4,2,0,1,52.6,False,True,False,False,False
287,b.sc,0.95,49.2,0,8.4,1,1,0,43.2,False,True,False,False,False
288,bca,4.21,50.0,0,9.6,0,2,0,60.5,True,False,False,False,False
289,diploma,1.6,54.0,0,7.3,0,0,0,41.0,True,False,False,False,False
290,b.tech,0.13,82.7,0,6.1,0,2,0,22.1,False,False,False,True,False
291,bca,2.26,51.4,0,4.1,1,0,1,28.3,False,False,False,True,False
292,bca,4.07,59.3,0,7.0,2,0,1,52.4,False,False,False,True,False
293,b.com,5.71,94.1,0,4.6,2,2,1,84.3,False,True,False,False,False
294,bba,3.51,73.9,0,5.9,0,2,1,60.8,True,False,False,False,False
295,bca,7.7,50.4,0,7.7,0,2,2,55.2,False,False,False,False,True
296,ba,1.6,91.6,0,5.7,1,0,0,59.7,False,True,False,False,False
297,bba,4.11,70.7,0,5.3,2,2,2,69.1,False,True,False,False,False
298,b.tech,2.03,90.1,1,7.5,0,0,1,57.0,False,False,True,False,False
299,diploma,6.45,44.7,0,4.4,0,2,2,67.9,False,True,False,False,False
300,diploma,1.5,49.7,0,9.6,1,2,2,38.3,False,True,False,False,False
301,b.sc,7.69,45.5,0,9.9,0,0,1,67.2,False,True,False,False,False
302,ba,5.73,68.9,1,9.9,1,0,2,72.9,False,False,False,True,False
303,b.sc,4.45,63.2,0,4.1,2,1,0,74.2,True,False,False,False,False
304,b.com,4.26,65.0,0,4.1,2,2,1,84.4,True,False,False,False,False
305,b.sc,2.9,62.0,0,4.6,2,0,1,64.7,False,False,True,False,False
306,diploma,0.17,65.4,0,9.5,1,0,1,49.1,False,False,False,False,True
307,bba,7.32,62.9,1,9.2,2,1,1,85.5,False,True,False,False,False
308,bca,6.36,49.6,0,4.1,1,2,2,50.7,False,True,False,False,False
309,bca,1.08,74.1,0,4.4,2,2,0,59.1,False,True,False,False,False
310,bca,0.98,92.2,0,5.8,0,2,0,51.3,False,True,False,False,False
311,b.sc,2.46,99.4,0,5.7,2,1,2,53.6,False,False,False,True,False
312,bca,6.11,47.0,0,4.1,1,1,1,50.3,False,False,False,False,True
313,bca,4.03,64.7,0,4.5,1,0,1,45.7,False,False,False,False,True
314,b.tech,5.23,54.5,0,8.1,1,2,2,66.1,False,False,False,True,False
315,b.tech,0.08,74.0,0,7.5,2,1,2,36.6,False,True,False,False,False
316,bca,7.39,61.6,0,6.1,1,0,2,83.3,False,False,True,False,False
317,b.com,1.33,92.7,0,5.5,1,1,2,55.9,False,False,False,True,False
318,b.com,2.55,96.1,0,6.8,2,2,2,70.6,False,False,False,True,False
319,b.com,7.58,59.5,1,7.8,2,0,1,78.3,True,False,False,False,False
320,diploma,5.86,61.4,0,5.8,2,0,1,70.8,False,False,False,True,False
321,b.com,4.09,72.1,0,4.8,1,2,1,59.0,False,False,False,True,False
322,b.com,6.9,78.1,0,9.5,1,0,0,70.1,True,False,False,False,False
323,b.com,0.49,85.1,0,4.7,1,0,1,46.2,False,False,True,False,False
324,b.tech,0.61,46.0,0,9.0,2,1,1,31.4,False,True,False,False,False
325,b.tech,1.24,43.1,0,7.4,2,1,2,34.8,False,False,False,True,False
326,b.com,2.12,80.7,0,6.8,2,2,2,57.7,False,False,False,False,True
327,b.tech,5.67,68.7,0,5.5,1,2,2,53.6,False,False,False,False,True
328,bca,4.26,80.4,0,8.2,2,0,1,72.2,False,False,False,True,False
329,b.com,3.41,58.1,0,6.9,1,0,2,47.4,False,False,False,False,True
330,ba,6.26,50.3,0,4.6,2,2,0,72.4,False,False,False,False,True
331,b.com,2.54,46.7,0,8.9,1,1,1,48.3,True,False,False,False,False
332,bca,0.68,87.2,0,8.1,2,0,1,50.6,False,False,False,False,True
333,b.com,3.17,64.2,0,8.6,1,2,1,66.7,False,False,True,False,False
334,b.tech,6.13,45.0,0,5.4,0,2,1,60.4,False,False,False,True,False
335,ba,3.79,54.8,0,5.9,1,1,2,58.2,False,True,False,False,False
336,b.sc,7.82,91.7,1,6.0,0,2,2,87.2,False,False,False,True,False
337,bba,6.85,68.9,0,5.0,1,2,1,65.4,False,False,True,False,False
338,ba,6.33,91.2,1,9.3,2,1,2,84.8,False,False,False,True,False
339,ba,6.19,96.7,0,6.2,2,0,1,79.1,False,True,False,False,False
340,b.com,4.65,44.0,0,5.8,1,1,1,57.3,False,True,False,False,False
341,bba,7.21,96.6,0,6.9,2,0,2,88.2,False,False,True,False,False
342,bba,4.72,62.3,0,9.7,0,1,2,66.7,True,False,False,False,False
343,diploma,2.98,81.9,1,6.2,2,1,2,67.6,False,True,False,False,False
344,diploma,1.57,64.2,0,9.6,1,1,0,53.3,False,False,False,False,True
345,b.tech,6.5,76.9,0,9.6,2,0,2,86.3,False,False,False,True,False
346,bba,2.97,80.2,0,5.9,0,2,2,57.2,False,False,False,True,False
